# Matter power spectrum P(k) at redshift z=3
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       3.898389868014e+00 
       1.388380511251e-05       4.870289862461e+00 
       1.747867506854e-05       6.084488583277e+00 
       2.200434820828e-05       7.601388409978e+00 
       2.770183312937e-05       9.496445727142e+00 
       3.487454167984e-05       1.186391940688e+01 
       4.390444674543e-05       1.482154858182e+01 
       5.527242369858e-05       1.851638891044e+01 
       6.958385876560e-05       2.313208281145e+01 
       8.760088805071e-05       2.889790994512e+01 
       1.102829840628e-04       3.610001991475e+01 
       1.388380511251e-04       4.509532717188e+01 
       1.747867506854e-04       5.632777838100e+01 
       2.200434820828e-04       7.035196173080e+01 
       2.770183312937e-04       8.785429982231e+01 
       3.487454167984e-04       1.096845051049e+02 
       4.390444674543e-04       1.368878259007e+02 
       5.527242369858e-04       1.707393091766e+02 
       6.958385876560e-04       2.127752018889e+02 
       8.760088805071e-04       2.648142882042e+02 
       1.102829840628e-03       3.289598257488e+02 
       1.388380511251e-03       4.075725536724e+02 
       1.747867506854e-03       5.031843996748e+02 
       2.200434820828e-03       6.183791707835e+02 
       2.770183312937e-03       7.554317904308e+02 
       3.487454167984e-03       9.158010268994e+02 
       4.390444674543e-03       1.099426291606e+03 
       5.527242369858e-03       1.303718163796e+03 
       6.958385876560e-03       1.522310483814e+03 
       8.760088805071e-03       1.743558190351e+03 
       1.102829840628e-02       1.948996961602e+03 
       1.388380511251e-02       2.112085839938e+03 
       1.747867506847e-02       2.199140166384e+03 
       2.200434788654e-02       2.175193055126e+03 
       2.770162349621e-02       2.020285515014e+03 
       3.484897781650e-02       1.756859332173e+03 
       4.314637565566e-02       1.481666209190e+03 
       4.992323753128e-02       1.319346203226e+03 
       5.488181137661e-02       1.233162035373e+03 
       5.900598555658e-02       1.175864643493e+03 
       6.270499765881e-02       1.130794616797e+03 
       6.616406905423e-02       1.090720392721e+03 
       6.948238878958e-02       1.051927606585e+03 
       7.271993169837e-02       1.012405939706e+03 
       7.591634260514e-02       9.711695642949e+02 
       7.909970221490e-02       9.279479312646e+02 
       8.229104782735e-02       8.830083778452e+02 
       8.550689990106e-02       8.370229099430e+02 
       8.876076600145e-02       7.909440067431e+02 
       9.206408246927e-02       7.458726369348e+02 
       9.542682886117e-02       7.029295688990e+02 
       9.885794274070e-02       6.631266505831e+02 
       1.023656076750e-01       6.272554083894e+02 
       1.059574578699e-01       5.957966009189e+02 
       1.096407263112e-01       5.688582210921e+02 
       1.134223535847e-01       5.461529107791e+02 
       1.173090686735e-01       5.270025642376e+02 
       1.213074493784e-01       5.103894709211e+02 
       1.254239676765e-01       4.950531138365e+02 
       1.296650238160e-01       4.796493204824e+02 
       1.340369719524e-01       4.629642018242e+02 
       1.385461394647e-01       4.441535475200e+02 
       1.431988416512e-01       4.229430634692e+02 
       1.480013932119e-01       3.997231234627e+02 
       1.529601177286e-01       3.754807995765e+02 
       1.580813562326e-01       3.515741837167e+02 
       1.633714758689e-01       3.294103695297e+02 
       1.688368796147e-01       3.100822061113e+02 
       1.744840179824e-01       2.940832639410e+02 
       1.803194036148e-01       2.811857330360e+02 
       1.863496296665e-01       2.704776057692e+02 
       1.925813928611e-01       2.606618999868e+02 
       1.990215221041e-01       2.503506825093e+02 
       2.056770135385e-01       2.385214511846e+02 
       2.125550729465e-01       2.250736341195e+02 
       2.196631664316e-01       2.108405768001e+02 
       2.270090803838e-01       1.971025387686e+02 
       2.346009918309e-01       1.849495232538e+02 
       2.424475504407e-01       1.748849076693e+02 
       2.505579736664e-01       1.666832836814e+02 
       2.589421568557e-01       1.594145407768e+02 
       2.676108005851e-01       1.519828471352e+02 
       2.765755580830e-01       1.438002909269e+02 
       2.858492063992e-01       1.350435095684e+02 
       2.954458460372e-01       1.264918511966e+02 
       3.053811351574e-01       1.189610419062e+02 
       3.156725663114e-01       1.126241088506e+02 
       3.263397961304e-01       1.069966606888e+02 
       3.374050417010e-01       1.014097423453e+02 
       3.488935618561e-01       9.553077635954e+01 
       3.608342477807e-01       8.965739874351e+01 
       3.732603559267e-01       8.426284115495e+01 
       3.862104283659e-01       7.951786271023e+01 
       3.997294631352e-01       7.510933676069e+01 
       4.138704225582e-01       7.070617815318e+01 
       4.286962053661e-01       6.633139889506e+01 
       4.442822658737e-01       6.223621135109e+01 
       4.607201526334e-01       5.846872246244e+01 
       4.781223808490e-01       5.486109042644e+01 
       4.966292847976e-01       5.130418794524e+01 
       5.164188875472e-01       4.790384825815e+01 
       5.377215074325e-01       4.469512715853e+01 
       5.608420577084e-01       4.155623692907e+01 
       5.861953391515e-01       3.850300730715e+01 
       6.143642914910e-01       3.554372007686e+01 
       6.462010016320e-01       3.261504387569e+01 
       6.830123454141e-01       2.971159859052e+01 
       7.269252677543e-01       2.677666322203e+01 
       7.816633580450e-01       2.375956728810e+01 
       8.543291965183e-01       2.057343399161e+01 
       9.596030241315e-01       1.711777614399e+01 
       1.127086033709e+00       1.338466008159e+01 
       1.391558229904e+00       9.842413953359e+00 
       1.749679324236e+00       7.169206065020e+00 
       2.202679104855e+00       5.281798742420e+00 
       2.773008581284e+00       3.916310842680e+00 
       3.491010970050e+00       2.900888125277e+00 
       4.394922423049e+00       2.130811963940e+00 
       5.532879521240e+00       1.541807289799e+00 
       6.965482629685e+00       1.092971862931e+00 
       8.769023087921e+00       7.560553239044e-01 
