# Matter power spectrum P(k) at redshift z=2
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       6.844244751774e+00 
       1.388380511251e-05       8.550569441228e+00 
       1.747867506854e-05       1.068228728497e+01 
       2.200434820828e-05       1.334544361373e+01 
       2.770183312937e-05       1.667251232690e+01 
       3.487454167984e-05       2.082897632711e+01 
       4.390444674543e-05       2.602153923682e+01 
       5.527242369858e-05       3.250836697998e+01 
       6.958385876560e-05       4.061184765290e+01 
       8.760088805071e-05       5.073446604451e+01 
       1.102829840628e-04       6.337850195805e+01 
       1.388380511251e-04       7.917037634344e+01 
       1.747867506854e-04       9.888781374566e+01 
       2.200434820828e-04       1.235055952119e+02 
       2.770183312937e-04       1.542264227770e+02 
       3.487454167984e-04       1.925391777830e+02 
       4.390444674543e-04       2.402737515638e+02 
       5.527242369858e-04       2.996599114424e+02 
       6.958385876560e-04       3.733813513278e+02 
       8.760088805071e-04       4.646140938368e+02 
       1.102829840628e-03       5.770361068634e+02 
       1.388380511251e-03       7.147915859721e+02 
       1.747867506854e-03       8.823407942725e+02 
       2.200434820828e-03       1.084218573969e+03 
       2.770183312937e-03       1.324388558652e+03 
       3.487454167984e-03       1.605399713681e+03 
       4.390444674543e-03       1.927123887941e+03 
       5.527242369858e-03       2.284995299212e+03 
       6.958385876560e-03       2.667819001563e+03 
       8.760088805071e-03       3.055232111944e+03 
       1.102829840628e-02       3.414550837819e+03 
       1.388380511251e-02       3.699524661690e+03 
       1.747867506847e-02       3.851026024542e+03 
       2.200434788654e-02       3.807902136276e+03 
       2.770162349621e-02       3.535477001888e+03 
       3.484897781650e-02       3.073489679943e+03 
       4.314637565566e-02       2.591566068616e+03 
       4.992323753128e-02       2.307445879002e+03 
       5.488181137661e-02       2.156520990133e+03 
       5.900598555658e-02       2.056093208293e+03 
       6.270499765881e-02       1.977048688005e+03 
       6.616406905423e-02       1.906764059649e+03 
       6.948238878958e-02       1.838778388008e+03 
       7.271993169837e-02       1.769595467730e+03 
       7.591634260514e-02       1.697514138178e+03 
       7.909970221490e-02       1.622074594273e+03 
       8.229104782735e-02       1.543745535176e+03 
       8.550689990106e-02       1.463688107809e+03 
       8.876076600145e-02       1.383566133137e+03 
       9.206408246927e-02       1.305263728693e+03 
       9.542682886117e-02       1.230700904884e+03 
       9.885794274070e-02       1.161611214123e+03 
       1.023656076750e-01       1.099347387138e+03 
       1.059574578699e-01       1.044718683532e+03 
       1.096407263112e-01       9.978908830060e+02 
       1.134223535847e-01       9.583516250462e+02 
       1.173090686735e-01       9.249227205829e+02 
       1.213074493784e-01       8.958452927095e+02 
       1.254239676765e-01       8.689553373945e+02 
       1.296650238160e-01       8.419616156234e+02 
       1.340369719524e-01       8.127970970940e+02 
       1.385461394647e-01       7.800404754439e+02 
       1.431988416512e-01       7.432435034695e+02 
       1.480013932119e-01       7.030861958849e+02 
       1.529601177286e-01       6.612518147288e+02 
       1.580813562326e-01       6.200532649822e+02 
       1.633714758689e-01       5.818611722992e+02 
       1.688368796147e-01       5.485158758051e+02 
       1.744840179824e-01       5.208338799619e+02 
       1.803194036148e-01       4.984136260367e+02 
       1.863496296665e-01       4.797013256117e+02 
       1.925813928611e-01       4.625043428262e+02 
       1.990215221041e-01       4.445001002882e+02 
       2.056770135385e-01       4.239801711075e+02 
       2.125550729465e-01       4.007950691865e+02 
       2.196631664316e-01       3.763466931833e+02 
       2.270090803838e-01       3.527753597939e+02 
       2.346009918309e-01       3.318893369236e+02 
       2.424475504407e-01       3.145147759625e+02 
       2.505579736664e-01       3.002629974890e+02 
       2.589421568557e-01       2.875819118776e+02 
       2.676108005851e-01       2.746546204029e+02 
       2.765755580830e-01       2.605216777858e+02 
       2.858492063992e-01       2.454780807316e+02 
       2.954458460372e-01       2.308091336423e+02 
       3.053811351574e-01       2.178511508738e+02 
       3.156725663114e-01       2.068788105706e+02 
       3.263397961304e-01       1.970911734534e+02 
       3.374050417010e-01       1.873935397518e+02 
       3.488935618561e-01       1.772469020411e+02 
       3.608342477807e-01       1.671366443912e+02 
       3.732603559267e-01       1.578293409171e+02 
       3.862104283659e-01       1.495958354394e+02 
       3.997294631352e-01       1.419256500398e+02 
       4.138704225582e-01       1.342835835738e+02 
       4.286962053661e-01       1.267067388279e+02 
       4.442822658737e-01       1.195964801518e+02 
       4.607201526334e-01       1.130255898223e+02 
       4.781223808490e-01       1.067229352486e+02 
       4.966292847976e-01       1.005129305260e+02 
       5.164188875472e-01       9.456100962583e+01 
       5.377215074325e-01       8.891824155242e+01 
       5.608420577084e-01       8.338837556494e+01 
       5.861953391515e-01       7.799082090710e+01 
       6.143642914910e-01       7.273353513089e+01 
       6.462010016320e-01       6.750703876614e+01 
       6.830123454141e-01       6.229076982247e+01 
       7.269252677543e-01       5.697786162781e+01 
       7.816633580450e-01       5.145938965539e+01 
       8.543291965183e-01       4.554983022265e+01 
       9.596030241315e-01       3.900627462360e+01 
       1.127086033709e+00       3.169902706324e+01 
       1.391558229904e+00       2.438715068494e+01 
       1.749679324236e+00       1.845337109104e+01 
       2.202679104855e+00       1.392044823747e+01 
       2.773008581284e+00       1.040123909233e+01 
       3.491010970050e+00       7.644563472257e+00 
       4.394922423049e+00       5.495680902376e+00 
       5.532879521240e+00       3.848426627519e+00 
       6.965482629685e+00       2.617889125191e+00 
       8.769023087921e+00       1.728183695415e+00 
