# Matter power spectrum P(k) at redshift z=2.5
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       5.069394873444e+00 
       1.388380511251e-05       6.333235611143e+00 
       1.747867506854e-05       7.912156856027e+00 
       2.200434820828e-05       9.884704575420e+00 
       2.770183312937e-05       1.234900021608e+01 
       3.487454167984e-05       1.542761507626e+01 
       4.390444674543e-05       1.927365282136e+01 
       5.527242369858e-05       2.407833711793e+01 
       6.958385876560e-05       3.008046450873e+01 
       8.760088805071e-05       3.757816797796e+01 
       1.102829840628e-04       4.694351619198e+01 
       1.388380511251e-04       5.864056520196e+01 
       1.747867506854e-04       7.324609395020e+01 
       2.200434820828e-04       9.148156973071e+01 
       2.770183312937e-04       1.142388122514e+02 
       3.487454167984e-04       1.426217626436e+02 
       4.390444674543e-04       1.779878296697e+02 
       5.527242369858e-04       2.219919664536e+02 
       6.958385876560e-04       2.766270509535e+02 
       8.760088805071e-04       3.442518086436e+02 
       1.102829840628e-03       4.275953598115e+02 
       1.388380511251e-03       5.297265618067e+02 
       1.747867506854e-03       6.539438071726e+02 
       2.200434820828e-03       8.036091574911e+02 
       2.770183312937e-03       9.816701826328e+02 
       3.487454167984e-03       1.190019655647e+03 
       4.390444674543e-03       1.428572887139e+03 
       5.527242369858e-03       1.693957335618e+03 
       6.958385876560e-03       1.977890525625e+03 
       8.760088805071e-03       2.265292271664e+03 
       1.102829840628e-02       2.531966091077e+03 
       1.388380511251e-02       2.743619064409e+03 
       1.747867506847e-02       2.856418419396e+03 
       2.200434788654e-02       2.824974716573e+03 
       2.770162349621e-02       2.623447083425e+03 
       3.484897781650e-02       2.281120013762e+03 
       4.314637565566e-02       1.923717274623e+03 
       4.992323753128e-02       1.712955402216e+03 
       5.488181137661e-02       1.601031702458e+03 
       5.900598555658e-02       1.526595469013e+03 
       6.270499765881e-02       1.468028461189e+03 
       6.616406905423e-02       1.415952163317e+03 
       6.948238878958e-02       1.365554279521e+03 
       7.271993169837e-02       1.314233455605e+03 
       7.591634260514e-02       1.260717003992e+03 
       7.909970221490e-02       1.204657525026e+03 
       8.229104782735e-02       1.146403585254e+03 
       8.550689990106e-02       1.086824939844e+03 
       8.876076600145e-02       1.027150926011e+03 
       9.206408246927e-02       9.688021780453e+02 
       9.542682886117e-02       9.132231462443e+02 
       9.885794274070e-02       8.617141300705e+02 
       1.023656076750e-01       8.152926386811e+02 
       1.059574578699e-01       7.745725754909e+02 
       1.096407263112e-01       7.396876837963e+02 
       1.134223535847e-01       7.102606983319e+02 
       1.173090686735e-01       6.854143862731e+02 
       1.213074493784e-01       6.638337388541e+02 
       1.254239676765e-01       6.438958154503e+02 
       1.296650238160e-01       6.238729739243e+02 
       1.340369719524e-01       6.022087032524e+02 
       1.385461394647e-01       5.778246577690e+02 
       1.431988416512e-01       5.503750549138e+02 
       1.480013932119e-01       5.203659766681e+02 
       1.529601177286e-01       4.890662312531e+02 
       1.580813562326e-01       4.582160591615e+02 
       1.633714758689e-01       4.296160370194e+02 
       1.688368796147e-01       4.046608980713e+02 
       1.744840179824e-01       3.839764825795e+02 
       1.803194036148e-01       3.672656721379e+02 
       1.863496296665e-01       3.533578483858e+02 
       1.925813928611e-01       3.405941436626e+02 
       1.990215221041e-01       3.272046758285e+02 
       2.056770135385e-01       3.118907467897e+02 
       2.125550729465e-01       2.945297885365e+02 
       2.196631664316e-01       2.761858207031e+02 
       2.270090803838e-01       2.584886503652e+02 
       2.346009918309e-01       2.428211037361e+02 
       2.424475504407e-01       2.298188779046e+02 
       2.505579736664e-01       2.191910310102e+02 
       2.589421568557e-01       2.097543160659e+02 
       2.676108005851e-01       2.001198656046e+02 
       2.765755580830e-01       1.895452641376e+02 
       2.858492063992e-01       1.782570358145e+02 
       2.954458460372e-01       1.672410862251e+02 
       3.053811351574e-01       1.575262459159e+02 
       3.156725663114e-01       1.493277974343e+02 
       3.263397961304e-01       1.420322277014e+02 
       3.374050417010e-01       1.347960718786e+02 
       3.488935618561e-01       1.272017098994e+02 
       3.608342477807e-01       1.196240975539e+02 
       3.732603559267e-01       1.126571245986e+02 
       3.862104283659e-01       1.065131326275e+02 
       3.997294631352e-01       1.007980000306e+02 
       4.138704225582e-01       9.509662244040e+01 
       4.286962053661e-01       8.943786544480e+01 
       4.442822658737e-01       8.413504160202e+01 
       4.607201526334e-01       7.924686849643e+01 
       4.781223808490e-01       7.456296111989e+01 
       4.966292847976e-01       6.994679504226e+01 
       5.164188875472e-01       6.552916596695e+01 
       5.377215074325e-01       6.135219409924e+01 
       5.608420577084e-01       5.726343699639e+01 
       5.861953391515e-01       5.328089932334e+01 
       6.143642914910e-01       4.941273237689e+01 
       6.462010016320e-01       4.557779911294e+01 
       6.830123454141e-01       4.176543540683e+01 
       7.269252677543e-01       3.789981229202e+01 
       7.816633580450e-01       3.390900330132e+01 
       8.543291965183e-01       2.967021313200e+01 
       9.596030241315e-01       2.503295840484e+01 
       1.127086033709e+00       1.995256640948e+01 
       1.391558229904e+00       1.501958062672e+01 
       1.749679324236e+00       1.117287220271e+01 
       2.202679104855e+00       8.353116315343e+00 
       2.773008581284e+00       6.238170935879e+00 
       3.491010970050e+00       4.618572214052e+00 
       4.394922423049e+00       3.367095601797e+00 
       5.532879521240e+00       2.403778168203e+00 
       6.965482629685e+00       1.673593141461e+00 
       8.769023087921e+00       1.133393059073e+00 
