# Matter power spectrum P(k) at redshift z=0
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       1.723086064858e+03 
       1.388380511251e-05       1.753674343540e+03 
       1.747867506854e-05       1.783361243765e+03 
       2.200434820828e-05       1.812241875961e+03 
       2.770183312937e-05       1.840397759966e+03 
       3.487454167984e-05       1.867899352380e+03 
       4.390444674543e-05       1.894808006409e+03 
       5.527242369858e-05       1.921177511667e+03 
       6.958385876560e-05       1.947055318246e+03 
       8.760088805071e-05       1.972483520226e+03 
       1.102829840628e-04       1.997499653625e+03 
       1.388380511251e-04       2.022137349553e+03 
       1.747867506854e-04       2.046426873258e+03 
       2.200434820828e-04       2.070395572331e+03 
       2.770183312937e-04       2.094068251956e+03 
       3.487454167984e-04       2.117467491129e+03 
       4.390444674543e-04       2.140613910716e+03 
       5.527242369858e-04       2.163526401952e+03 
       6.958385876560e-04       2.186222322261e+03 
       8.760088805071e-04       2.208717663864e+03 
       1.102829840628e-03       2.231027199631e+03 
       1.388380511251e-03       2.253164609789e+03 
       1.747867506854e-03       2.275142592446e+03 
       2.200434820828e-03       2.296972960370e+03 
       2.770183312937e-03       2.318666726034e+03 
       3.487454167984e-03       2.340234176612e+03 
       4.390444674543e-03       2.361684940331e+03 
       5.527242369858e-03       2.383028045341e+03 
       6.958385876560e-03       2.404271972118e+03 
       8.760088805071e-03       2.425424700222e+03 
       1.102829840628e-02       2.446493750147e+03 
       1.388380511251e-02       2.467486220860e+03 
       1.747867506847e-02       2.488408823559e+03 
       2.200434788654e-02       2.509267912108e+03 
       2.770162349621e-02       2.530069510531e+03 
       3.484897781650e-02       2.550819337896e+03 
       4.314637565566e-02       2.571522830892e+03 
       4.992323753128e-02       2.592185164354e+03 
       5.488181137661e-02       2.612811269944e+03 
       5.900598555658e-02       2.633405853203e+03 
       6.270499765881e-02       2.653973409127e+03 
       6.616406905423e-02       2.674518236427e+03 
       6.948238878958e-02       2.695044450612e+03 
       7.271993169837e-02       2.715555995995e+03 
       7.591634260514e-02       2.736056656739e+03 
       7.909970221490e-02       2.756550067026e+03 
       8.229104782735e-02       2.777039720444e+03 
       8.550689990106e-02       2.797528978653e+03 
       8.876076600145e-02       2.818021079393e+03 
       9.206408246927e-02       2.838519143915e+03 
       9.542682886117e-02       2.859026183855e+03 
       9.885794274070e-02       2.879545107623e+03 
       1.023656076750e-01       2.900078726346e+03 
       1.059574578699e-01       2.920629759385e+03 
       1.096407263112e-01       2.941200839487e+03 
       1.134223535847e-01       2.961794517580e+03 
       1.173090686735e-01       2.982413267250e+03 
       1.213074493784e-01       3.003059488931e+03 
       1.254239676765e-01       3.023735513815e+03 
       1.296650238160e-01       3.044443607522e+03 
       1.340369719524e-01       3.065185973528e+03 
       1.385461394647e-01       3.085964756393e+03 
       1.431988416512e-01       3.106782044785e+03 
       1.480013932119e-01       3.127639874325e+03 
       1.529601177286e-01       3.148540230259e+03 
       1.580813562326e-01       3.169485049976e+03 
       1.633714758689e-01       3.190476225384e+03 
       1.688368796147e-01       3.211515605138e+03 
       1.744840179824e-01       3.232604996762e+03 
       1.803194036148e-01       3.253746168632e+03 
       1.863496296665e-01       3.274940851870e+03 
       1.925813928611e-01       3.296190742117e+03 
       1.990215221041e-01       3.317497501230e+03 
       2.056770135385e-01       3.338862758875e+03 
       2.125550729465e-01       3.360288114050e+03 
       2.196631664316e-01       3.381775136519e+03 
       2.270090803838e-01       3.403325368181e+03 
       2.346009918309e-01       3.424940324365e+03 
       2.424475504407e-01       3.446621495070e+03 
       2.505579736664e-01       3.468370346139e+03 
       2.589421568557e-01       3.490188320373e+03 
       2.676108005851e-01       3.512076838605e+03 
       2.765755580830e-01       3.534037300713e+03 
       2.858492063992e-01       3.556071086591e+03 
       2.954458460372e-01       3.578179557079e+03 
       3.053811351574e-01       3.600364054849e+03 
       3.156725663114e-01       3.622625905255e+03 
       3.263397961304e-01       3.644966417143e+03 
       3.374050417010e-01       3.667386883626e+03 
       3.488935618561e-01       3.689888582838e+03 
       3.608342477807e-01       3.712472778642e+03 
       3.732603559267e-01       3.735140721317e+03 
       3.862104283659e-01       3.757893648225e+03 
       3.997294631352e-01       3.780732784435e+03 
       4.138704225582e-01       3.803659343341e+03 
       4.286962053661e-01       3.826674527248e+03 
       4.442822658737e-01       3.849779527938e+03 
       4.607201526334e-01       3.872975527220e+03 
       4.781223808490e-01       3.896263697454e+03 
       4.966292847976e-01       3.919645202062e+03 
       5.164188875472e-01       3.943121196025e+03 
       5.377215074325e-01       3.966692826354e+03 
       5.608420577084e-01       3.990361232556e+03 
       5.861953391515e-01       4.014127547080e+03 
       6.143642914910e-01       4.037992895756e+03 
       6.462010016320e-01       4.061958398209e+03 
       6.830123454141e-01       4.086025168276e+03 
       7.269252677543e-01       4.110194314403e+03 
       7.816633580450e-01       4.134466940034e+03 
       8.543291965183e-01       4.158844143990e+03 
       9.596030241315e-01       4.183327020838e+03 
       1.127086033709e+00       4.207916661256e+03 
       1.391558229904e+00       4.232614152380e+03 
       1.749679324236e+00       4.257420578155e+03 
       2.202679104855e+00       4.282337019668e+03 
       2.773008581284e+00       4.307364555484e+03 
       3.491010970050e+00       4.332504261970e+03 
       4.394922423049e+00       4.357757213614e+03 
       5.532879521240e+00       4.383124483341e+03 
       6.965482629685e+00       4.408607142819e+03 
       8.769023087921e+00       4.434206262768e+03 
